,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,ETHUSDT,23779.0438609,6,50.0,1.5000000000000124,-1.5000000000000013,0 days 12:20:00,0 days 12:20:00
1,BTCUSDT,0.1536973200000124,0,,,,,
2,ALPACAUSDT,0.0,0,,,,,
3,SOLUSDT,20090.9967626,5,80.0,1.5063604461711844,-1.5000000000000013,0 days 18:50:00,0 days 18:50:00
4,TRBUSDT,93796.38372647001,25,52.0,1.5271056511056535,-1.504554122265822,0 days 01:40:00,0 days 01:40:00
5,LPTUSDT,74420.51256606,21,19.047619047619047,1.5134081902245633,-1.5130078175060957,0 days 04:20:00,0 days 04:20:00
6,XRPUSDT,23929.106273046003,6,66.66666666666666,1.5045663127586817,-1.5045663127586817,0 days 22:15:00,0 days 22:15:00
7,DOGEUSDT,24443.5195923782,6,83.33333333333334,1.5000000000000013,-1.4948724622592446,0 days 11:30:00,0 days 11:30:00
8,BNXUSDT,0.0,0,,,,,
9,SUIUSDT,44422.267839709,11,81.81818181818183,1.5000000000000013,-1.5030133382281097,0 days 09:20:00,0 days 09:20:00
10,ENAUSDT,59123.101610560996,15,46.666666666666664,1.530733229329162,-1.5291506362829166,0 days 04:40:00,0 days 04:40:00
11,WIFUSDT,57721.108435496,14,78.57142857142857,1.5100674570727834,-1.5102380472059584,0 days 07:20:00,0 days 07:20:00
12,MEUSDT,75655.60103171,20,50.0,1.6094929881337539,-1.6187134502923861,0 days 04:20:00,0 days 04:20:00
13,SOPHUSDT,112690.65211535993,30,53.333333333333336,1.5216905298111039,-1.5168907332464565,0 days 02:55:00,0 days 02:55:00
14,ADAUSDT,44954.755826217,11,90.9090909090909,1.5000000000000013,-1.5000000000000124,0 days 04:45:00,0 days 04:45:00
15,AAVEUSDT,42067.9865705,11,54.54545454545454,1.5037948181104266,-1.5000000000000124,0 days 04:45:00,0 days 04:45:00
16,UNIUSDT,41489.055396589996,11,45.45454545454545,1.5000000000000013,-1.5146905294556312,0 days 07:00:00,0 days 07:00:00
17,WCTUSDT,54712.49574451599,14,57.14285714285714,1.5209624122263454,-1.520628272251312,0 days 02:45:00,0 days 02:45:00
18,ANIMEUSDT,95715.23232641208,26,57.692307692307686,1.5341421143847511,-1.5683271625715145,0 days 01:45:00,0 days 01:45:00
19,DEGOUSDT,39107.619081523,10,50.0,1.514832675727007,-1.5039042966496163,0 days 04:50:00,0 days 04:50:00
20,TRUMPUSDT,30887.944745069995,8,37.5,1.5000000000000013,-1.5000000000000013,0 days 08:50:00,0 days 08:50:00
21,BNBUSDT,7966.117033400001,2,100.0,1.5000000000000013,0.5068943668346204,0 days 06:55:00,0 days 06:55:00
22,VIRTUALUSDT,77454.837812654,19,63.1578947368421,1.5208520772691192,-1.505695527748152,0 days 03:15:00,0 days 03:15:00
23,LINKUSDT,27472.380343670004,7,57.14285714285714,1.4931838627084693,-1.5000000000000124,0 days 08:45:00,0 days 08:45:00
24,MASKUSDT,79899.07047026,21,52.38095238095239,1.526202034980384,-1.5067272230569584,0 days 03:50:00,0 days 03:50:00
25,AVAXUSDT,36545.05792924,9,77.77777777777779,1.5097708894878714,-1.5000000000000013,0 days 09:30:00,0 days 09:30:00
26,LDOUSDT,47210.30600862199,12,66.66666666666666,1.5110475549573787,-1.5118257019690162,0 days 08:20:00,0 days 08:20:00
27,ETHFIUSDT,68229.645204123,17,58.82352941176471,1.508381502890166,-1.5163444785530555,0 days 02:45:00,0 days 02:45:00
28,OPUSDT,46868.400264609,12,58.333333333333336,1.4999999999999902,-1.5151334426718233,0 days 05:15:00,0 days 05:15:00
29,KAITOUSDT,70905.360402072,18,55.55555555555556,1.511430229184807,-1.5057851239669295,0 days 02:40:00,0 days 02:40:00
30,NEIROUSDT,69147.52662993975,18,50.0,1.5217577706323482,-1.5232905002294572,0 days 03:10:00,0 days 03:10:00
31,WLDUSDT,39473.570020625004,10,70.0,1.5000000000000013,-1.5000000000000124,0 days 06:25:00,0 days 06:25:00
32,LTCUSDT,11837.434098000002,3,33.33333333333333,1.5000000000000013,-1.5113496589511,0 days 15:25:00,0 days 15:25:00
33,COMPUSDT,57501.384161,16,25.0,1.5223125961749684,-1.5226209048361916,0 days 03:30:00,0 days 03:30:00
34,MKRUSDT,60786.817662000016,16,50.0,1.5102829105334559,-1.505487673010375,0 days 05:05:00,0 days 05:05:00
35,NXPCUSDT,73174.17022718852,20,40.0,1.5081677541358252,-1.5133762858293265,0 days 03:50:00,0 days 03:50:00
