الرمز,الكمية,السعر الابتدائي,سعر الهدف,سعر الإيقاف,وقت الاغلاق,وقت الفتح,نسبة الربح,نسبة الخسارة,المهلة,الربح,النتيجة,الرصيد المتبقي
THEUSDT,2.1,2.7323,2.7732844999999995,2.677654,2024-12-02 04:17:24.223276,2024-12-02 04:15:42.934905,0.015,0.02,60m,-0.3212999999999999,خسارة,12.8064436
CTXCUSDT,8.0,0.7017,0.7122255,0.687666,2024-12-02 05:32:00.001787,2024-12-02T04:09:38.003646+03:00,0.015,0.02,60m,-0.11439999999999984,خسارة,18.32799342
ILVUSDT,0.099,60.28,61.1842,59.0744,2024-12-02 06:11:04.473583,2024-12-02T05:33:38.867157+03:00,0.015,0.02,60m,0.09008999999999912,ربح,12.41909342
RENDERUSDT,0.68,8.728,8.876375999999999,8.55344,2024-12-02 06:40:26.210924,2024-12-02T02:33:39.755496+03:00,0.015,0.02,60m,-0.12307999999999897,خسارة,6.25521342
THETAUSDT,2.0,2.895,2.944215,2.8371,2024-12-02 07:17:04.941012,2024-12-02T02:34:51.618344+03:00,0.015,0.02,60m,-0.1900000000000004,خسارة,11.72708342
SANDUSDT,9.0,0.6592,0.6690879999999999,0.646016,2024-12-02 07:17:07.309878,2024-12-02T04:36:02.084815+03:00,0.015,0.02,60m,-0.23760000000000048,خسارة,17.42228342
POLYXUSDT,15.6,0.3809,0.3866135,0.373282,2024-12-02 07:17:10.476262,2024-12-02T04:37:05.829958+03:00,0.015,0.02,60m,-0.15386000000000077,خسارة,17.28112342
FLOWUSDT,5.69,1.054,1.06981,1.03292,2024-12-02 07:17:13.305328,2024-12-02T05:52:19.571545+03:00,0.015,0.02,60m,-0.18777000000000044,خسارة,23.08492342
WUSDT,17.8,0.3359,0.3409384999999999,0.329182,2024-12-02 07:17:17.994549,2024-12-02T06:24:27.659702+03:00,0.015,0.02,60m,-0.19936000000000043,خسارة,23.05898342
CAKEUSDT,1.95,3.07,3.1160499999999995,3.0086,2024-12-02 07:17:20.578168,2024-12-02T06:40:28.871660+03:00,0.015,0.02,60m,-0.16379999999999928,خسارة,28.88363342
ENAUSDT,7.62,0.7868,0.798602,0.7710640000000001,2024-12-02 07:32:29.281841,2024-12-02T07:22:04.172934+03:00,0.015,0.02,60m,0.09143999999999952,ربح,11.02193442
TRUUSDT,50.0,0.1185,0.12027749999999998,0.11613,2024-12-02 07:40:17.593266,2024-12-02T07:17:09.461344+03:00,0.015,0.02,60m,0.09000000000000075,ربح,17.03193442
DOGSUSDT,8422.0,0.0007124,0.0007230859999999998,0.000698152,2024-12-02 07:42:13.382521,2024-12-02T07:24:42.593645+03:00,0.015,0.02,60m,0.09264199999999967,ربح,23.12356702
ALGOUSDT,12.0,0.4839,0.49115849999999994,0.474222,2024-12-02 07:52:21.813777,2024-12-02T07:17:14.166540+03:00,0.015,0.02,60m,0.08760000000000012,ربح,29.01676702
XTZUSDT,3.7,1.61,1.63415,1.5778,2024-12-02 08:06:04.458116,2024-12-02T07:17:33.514053+03:00,0.015,0.02,60m,0.09249999999999936,ربح,35.06626702
