,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,XRPUSDT,-0.564241376000009,1,0.0,-0.5643075953745247,-0.5643075953745247,0 days 00:45:00,0 days 00:45:00
1,ETHUSDT,0.0,0,,,,,
2,BTCUSDT,0.0,0,,,,,
3,DOGEUSDT,0.0,0,,,,,
4,SHIBUSDT,0.0,0,,,,,
5,PEPEUSDT,0.64995457110801,0,,,,,
6,USDCUSDT,-0.18961416799998915,1,0.0,-0.18961476686411016,-0.18961476686411016,0 days 00:18:00,0 days 00:18:00
7,FDUSDUSDT,0.0,0,,,,,
8,SOLUSDT,0.0,0,,,,,
9,XLMUSDT,-0.27376885200001194,1,0.0,-0.27377426492241064,-0.27377426492241064,0 days 01:09:00,0 days 01:09:00
10,HBARUSDT,0.0,0,,,,,
11,ADAUSDT,0.0,0,,,,,
12,BNBUSDT,0.0,0,,,,,
13,WLDUSDT,0.0,0,,,,,
14,ACTUSDT,0.0,0,,,,,
15,PNUTUSDT,0.0,0,,,,,
16,NEIROUSDT,0.0,0,,,,,
17,ALGOUSDT,1.2974025999999867,1,100.0,1.2974051896207373,1.2974051896207373,0 days 00:12:00,0 days 00:12:00
18,LTCUSDT,0.0,0,,,,,
19,ZROUSDT,-2.2970563199999927,2,0.0,-0.10497336553190184,-2.195608782435121,0 days 01:09:00,0 days 01:09:00
20,WIFUSDT,0.0,0,,,,,
21,SUIUSDT,0.0,0,,,,,
22,FLOKIUSDT,0.2099310295032046,1,100.0,0.20993102982544976,0.20993102982544976,0 days 00:27:00,0 days 00:27:00
23,ENSUSDT,1.2945504000000072,1,100.0,1.2974051896207595,1.2974051896207595,0 days 00:12:00,0 days 00:12:00
24,THEUSDT,-0.60464055800001,1,0.0,-0.6048049103595798,-0.6048049103595798,0 days 00:42:00,0 days 00:42:00
25,DOTUSDT,0.0,0,,,,,
26,BONKUSDT,0.0,0,,,,,
27,FILUSDT,0.0,0,,,,,
28,FETUSDT,0.0,0,,,,,
29,CRVUSDT,0.0,0,,,,,
30,AVAXUSDT,0.0,0,,,,,
31,ENAUSDT,0.0,0,,,,,
32,THETAUSDT,0.0,0,,,,,
33,ORDIUSDT,0.0,0,,,,,
34,FTMUSDT,0.0,0,,,,,
35,1000SATSUSDT,0.0,0,,,,,
36,NEARUSDT,0.0,0,,,,,
37,ARBUSDT,0.0,0,,,,,
38,ZKUSDT,1.3443154499999765,1,100.0,1.3443238580735484,1.3443238580735484,0 days 00:12:00,0 days 00:12:00
39,LINKUSDT,0.0,0,,,,,
40,BOMEUSDT,0.0,0,,,,,
41,TRXUSDT,-0.2958356119999917,1,0.0,-0.2958403347596006,-0.2958403347596006,0 days 00:42:00,0 days 00:42:00
42,XTZUSDT,0.0,0,,,,,
43,UNIUSDT,0.0,0,,,,,
44,GALAUSDT,0.0,0,,,,,
45,EOSUSDT,1.3258564900000056,1,100.0,1.3259852907746117,1.3259852907746117,0 days 00:45:00,0 days 00:45:00
46,SANDUSDT,0.0,0,,,,,
47,OPUSDT,0.0,0,,,,,
48,SEIUSDT,1.2973531999999794,1,100.0,1.2974051896207373,1.2974051896207373,0 days 00:06:00,0 days 00:06:00
49,CVXUSDT,0.0,0,,,,,
50,APTUSDT,0.0,0,,,,,
51,WUSDT,0.0,0,,,,,
52,TAOUSDT,0.0,0,,,,,
53,TIAUSDT,0.0,0,,,,,
54,ARUSDT,0.0,0,,,,,
55,BCHUSDT,0.0,0,,,,,
56,EIGENUSDT,0.0,0,,,,,
57,RUNEUSDT,0.0,0,,,,,
58,ICPUSDT,0.0,0,,,,,
59,POLUSDT,0.0,0,,,,,
60,AUCTIONUSDT,1.2962949999999909,1,100.0,1.2974051896207373,1.2974051896207373,0 days 00:39:00,0 days 00:39:00
61,APEUSDT,0.5892933599999924,1,100.0,0.5893351636647726,0.5893351636647726,0 days 00:42:00,0 days 00:42:00
62,DOGSUSDT,0.0,0,,,,,
63,AAVEUSDT,0.0,0,,,,,
64,STRKUSDT,0.0,0,,,,,
65,ETHFIUSDT,0.0,0,,,,,
66,FIDAUSDT,0.0,0,,,,,
67,STXUSDT,0.0,0,,,,,
68,JUPUSDT,0.0,0,,,,,
69,ETCUSDT,0.0,0,,,,,
70,KAIAUSDT,0.0,0,,,,,
71,TONUSDT,0.0,0,,,,,
72,IOUSDT,0.0,0,,,,,
73,BLURUSDT,-0.09760634400001436,0,,,,,
74,ATOMUSDT,0.9767525999999999,1,100.0,0.9772098619018399,0.9772098619018399,0 days 00:48:00,0 days 00:48:00
75,CFXUSDT,0.0,0,,,,,
76,PEOPLEUSDT,0.0,0,,,,,
77,IOTAUSDT,-0.45914748799998045,1,0.0,-0.4591597039990125,-0.4591597039990125,0 days 00:48:00,0 days 00:48:00
78,SCRTUSDT,0.0,0,,,,,
79,MEMEUSDT,0.0,0,,,,,
80,RENDERUSDT,0.0,0,,,,,
81,EURUSDT,-0.3032109599999967,1,0.0,-0.30322590612620326,-0.30322590612620326,0 days 00:42:00,0 days 00:42:00
82,VETUSDT,0.0,0,,,,,
83,ARKMUSDT,0.0,0,,,,,
84,ALTUSDT,0.0,0,,,,,
85,USUALUSDT,2.843279285999961,2,100.0,1.4397168012948436,1.383689180412584,0 days 00:00:00,0 days 00:00:00
86,NOTUSDT,0.0,0,,,,,
87,1MBABYDOGEUSDT,0.744101455744003,1,100.0,0.7441016277783818,0.7441016277783818,0 days 00:30:00,0 days 00:30:00
88,INJUSDT,0.0,0,,,,,
89,SAGAUSDT,0.0,0,,,,,
90,LUNAUSDT,0.0,0,,,,,
91,LUNCUSDT,0.0,0,,,,,
92,CHZUSDT,0.0,0,,,,,
93,SSVUSDT,0.0,0,,,,,
94,TURBOUSDT,0.3354886224000075,1,100.0,0.3354886237500132,0.3354886237500132,0 days 00:30:00,0 days 00:30:00
95,LDOUSDT,0.0,0,,,,,
96,JASMYUSDT,0.0,0,,,,,
97,BEAMXUSDT,1.370042864499992,1,100.0,1.3700458530769177,1.3700458530769177,0 days 00:27:00,0 days 00:27:00
98,AEVOUSDT,0.0,0,,,,,
99,OMUSDT,0.0,0,,,,,
100,GRTUSDT,0.0,0,,,,,
101,PENDLEUSDT,0.0,0,,,,,
102,TRBUSDT,0.0,0,,,,,
103,PYTHUSDT,0.0,0,,,,,
104,CKBUSDT,0.0,0,,,,,
105,MANTAUSDT,0.0,0,,,,,
106,RAYUSDT,-0.14249895999999354,1,0.0,-0.14255026532300485,-0.14255026532300485,0 days 00:42:00,0 days 00:42:00
107,XAIUSDT,0.0,0,,,,,
108,PIXELUSDT,0.0,0,,,,,
109,EGLDUSDT,0.07400879999999233,1,100.0,0.07401235910633464,0.07401235910633464,0 days 01:12:00,0 days 01:12:00
110,DYDXUSDT,0.0,0,,,,,
111,RENUSDT,-0.37540825560001395,1,0.0,-0.3754089003437766,-0.3754089003437766,0 days 00:30:00,0 days 00:30:00
112,DGBUSDT,0.5950933570000052,1,100.0,0.59509382032219,0.59509382032219,0 days 01:09:00,0 days 01:09:00
113,CAKEUSDT,0.0,0,,,,,
114,IMXUSDT,0.0,0,,,,,
115,MANAUSDT,1.2033312480000131,1,100.0,1.203403876408382,1.203403876408382,0 days 00:42:00,0 days 00:42:00
116,FTTUSDT,0.0,0,,,,,
117,GFTUSDT,0.0,0,,,,,
118,KSMUSDT,0.4756376000000091,1,100.0,0.4766845785679541,0.4766845785679541,0 days 00:36:00,0 days 00:36:00
119,MASKUSDT,0.0,0,,,,,
120,JTOUSDT,0.0,0,,,,,
121,YGGUSDT,0.0,0,,,,,
122,IOSTUSDT,0.8296151865399951,1,100.0,0.8296152902131926,0.8296152902131926,0 days 00:30:00,0 days 00:30:00
123,ONEUSDT,0.0,0,,,,,
124,CELOUSDT,0.0,0,,,,,
125,VANRYUSDT,0.0,0,,,,,
126,ASTRUSDT,0.0,0,,,,,
127,HOTUSDT,0.6771672452399979,1,100.0,0.6771673254520882,0.6771673254520882,0 days 00:30:00,0 days 00:30:00
