,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,BTCUSDT,0.0,0,,,,,
1,ETHUSDT,-0.028202000000001136,1,0.0,-0.03659992533625589,-0.03659992533625589,0 days 00:57:00,0 days 00:57:00
2,XRPUSDT,1.6116614640000262,2,100.0,0.8070494796990513,0.7984031936127733,0 days 00:09:00,0 days 00:09:00
3,TRXUSDT,-1.4055893531999937,2,50.0,0.8106975559477148,-2.198509956830519,0 days 00:15:00,0 days 00:15:00
4,SOLUSDT,-0.18508920000000217,1,0.0,-0.1865957945979324,-0.1865957945979324,0 days 00:57:00,0 days 00:57:00
5,DOGEUSDT,0.0,0,,,,,
6,BNBUSDT,0.7592181999999957,1,100.0,0.797024810460023,0.797024810460023,0 days 00:15:00,0 days 00:15:00
7,SANDUSDT,-0.6234705578000103,3,66.66666666666666,0.805646762711687,-2.1897104374024146,0 days 00:12:00,0 days 00:12:00
8,RSRUSDT,0.7938945448399863,1,100.0,0.7938956181189116,0.7938956181189116,0 days 00:03:00,0 days 00:03:00
9,HBARUSDT,1.5997105444000042,2,100.0,0.7984031936127733,0.794983052353504,0 days 00:42:00,0 days 00:42:00
10,ADAUSDT,0.7898503799999889,1,100.0,0.7899084689209079,0.7899084689209079,0 days 00:09:00,0 days 00:09:00
11,DOTUSDT,0.3909327000000121,1,100.0,0.7891352271551133,0.7891352271551133,0 days 01:27:00,0 days 01:27:00
12,CRVUSDT,-3.4905009200000316,3,33.33333333333333,0.7984031936127733,-2.195608782435121,0 days 00:48:00,0 days 00:48:00
13,FILUSDT,-2.1944419200000085,1,0.0,-2.1956087824351433,-2.1956087824351433,0 days 00:18:00,0 days 00:18:00
14,AVAXUSDT,-1.2277450999999928,1,0.0,-1.230554516257787,-1.230554516257787,0 days 01:54:00,0 days 01:54:00
15,SUIUSDT,0.0,0,,,,,
16,LINKUSDT,-2.5699661999999805,1,0.0,-2.195608782435121,-2.195608782435121,0 days 00:12:00,0 days 00:12:00
17,PNUTUSDT,0.0,0,,,,,
18,ENSUSDT,-2.2052707200000077,1,0.0,-2.2067884714316977,-2.2067884714316977,0 days 00:18:00,0 days 00:18:00
19,EOSUSDT,0.874535420000011,1,100.0,0.8745924628445367,0.8745924628445367,0 days 00:03:00,0 days 00:03:00
20,ETCUSDT,0.8117126800000188,1,100.0,0.8143936335462065,0.8143936335462065,0 days 00:18:00,0 days 00:18:00
21,LTCUSDT,0.0,0,,,,,
22,WLDUSDT,-2.2071480660000087,1,0.0,-2.207318727805252,-2.207318727805252,0 days 00:06:00,0 days 00:06:00
23,XLMUSDT,1.6010619675999804,2,100.0,0.7984031936127733,0.7963648444753613,0 days 01:06:00,0 days 01:06:00
