,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,BTCUSDT,0.0,0,,,,,
1,ETHUSDT,0.0,0,,,,,
2,DOGEUSDT,0.7940504329999909,1,100.0,0.7940504610987498,0.7940504610987498,0 days 03:20:00,0 days 03:20:00
3,XRPUSDT,1.5992273611120136,2,100.0,0.7984031936127733,0.7944810767569921,0 days 02:00:00,0 days 02:00:00
4,SOLUSDT,0.0,0,,,,,
5,1MBABYDOGEUSDT,-1.4123851091835276,2,50.0,0.7984031936127955,-2.193277108587388,0 days 00:35:00,0 days 00:35:00
6,SUSHIUSDT,0.0,0,,,,,
7,ADAUSDT,0.0,0,,,,,
8,LINKUSDT,0.798402111840006,1,100.0,0.7984031936127733,0.7984031936127733,0 days 00:55:00,0 days 00:55:00
9,PNUTUSDT,0.7892813112455979,1,100.0,0.7892813566757306,0.7892813566757306,0 days 02:00:00,0 days 02:00:00
10,BNBUSDT,0.0,0,,,,,
11,WIFUSDT,0.0,0,,,,,
12,UNIUSDT,-0.7839331232200004,2,50.0,0.8038962946042449,-1.5751690700871679,0 days 01:45:00,0 days 01:45:00
13,SUIUSDT,0.0,0,,,,,
14,NEIROUSDT,0.0,0,,,,,
15,HBARUSDT,0.8014718039472029,1,100.0,0.8014718249813146,0.8014718249813146,0 days 01:30:00,0 days 01:30:00
16,AVAXUSDT,0.0,0,,,,,
17,WLDUSDT,0.0,0,,,,,
18,DYDXUSDT,0.4074026138000004,2,50.0,0.7984031936127733,-0.3879034384062008,0 days 00:55:00,0 days 00:55:00
19,ENAUSDT,0.8960617272960208,2,100.0,0.7885335761454781,0.10668693303423904,0 days 00:20:00,0 days 00:20:00
20,Total,3.889579129837304,14,,,,,
