,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,BTCUSDT,-0.6782094000000134,1,0.0,-0.6805573869574033,-0.6805573869574033,0 days 02:57:00,0 days 02:57:00
1,ETHUSDT,-0.5133815784000046,2,50.0,0.8016032064128265,-1.3047019484424993,0 days 01:58:00,0 days 01:58:00
2,XRPUSDT,-0.09466161396402865,5,60.0,0.8070531895960853,-2.1956087824351433,0 days 00:58:00,0 days 00:58:00
3,DOGEUSDT,0.17442360557017847,2,50.0,0.7959150199514653,-0.6165839211210389,0 days 02:30:00,0 days 02:30:00
4,SOLUSDT,-0.3875232416000031,1,0.0,-0.38752412848152007,-0.38752412848152007,0 days 02:57:00,0 days 02:57:00
5,SUIUSDT,1.4014282781180367,3,66.66666666666666,0.7994453122036949,-0.19960079840318778,0 days 01:56:00,0 days 01:56:00
6,LINKUSDT,5.4041073724199835,11,90.9090909090909,0.8120495413742379,-2.192240166632353,0 days 00:22:00,0 days 00:22:00
7,AAVEUSDT,1.3297945099999942,2,100.0,0.7984031936127733,0.5271939830572725,0 days 02:30:00,0 days 02:30:00
8,AVAXUSDT,-2.3360238148599675,4,50.0,0.7964917798801041,-2.1974429701443143,0 days 01:25:00,0 days 01:25:00
9,ADAUSDT,-0.817046664556004,4,50.0,0.7984031936127733,-2.204243406891526,0 days 01:31:00,0 days 01:31:00
10,BNBUSDT,-0.5312939795999975,1,0.0,-0.5313295658206041,-0.5313295658206041,0 days 02:48:00,0 days 02:48:00
11,PNUTUSDT,-2.5745215881899743,5,60.0,0.8024933075207352,-2.1956087824351322,0 days 00:51:00,0 days 00:51:00
12,XVGUSDT,0.8039252811483479,8,75.0,0.8217920261732847,-2.1950070869899863,0 days 01:11:00,0 days 01:11:00
13,1MBABYDOGEUSDT,0.6631171013774723,2,50.0,0.8024418338833605,-0.1382156322276118,0 days 02:30:00,0 days 02:30:00
14,WIFUSDT,-1.6032343784119933,4,50.0,0.8049521276779159,-2.211778539274334,0 days 01:24:00,0 days 01:24:00
15,WLDUSDT,-0.7061883737900108,4,50.0,0.7984031936127733,-2.1924432844509623,0 days 01:24:00,0 days 01:24:00
16,HBARUSDT,-1.8879501846892202,6,66.66666666666666,0.7982707108038056,-2.1988304831801586,0 days 00:42:00,0 days 00:42:00
17,NEIROUSDT,-1.319248830827158,1,0.0,-1.3192488308340522,-1.3192488308340522,0 days 02:48:00,0 days 02:48:00
18,TRXUSDT,-0.8550960716580227,2,50.0,0.7984031936127733,-1.6404022505185911,0 days 02:33:00,0 days 02:33:00
19,UNIUSDT,1.6626494136199914,3,100.0,0.8016032064128265,0.06683593902794271,0 days 01:55:00,0 days 01:55:00
20,LTCUSDT,-0.5763352652000078,4,75.0,0.7984031936127733,-2.2037394991379022,0 days 01:34:00,0 days 01:34:00
21,DOTUSDT,-0.11219430759999902,2,50.0,0.7871834247800136,-0.8923536795954257,0 days 02:34:00,0 days 02:34:00
22,TURBOUSDT,-3.0004412028481253,3,33.33333333333333,0.8016032064128265,-2.197981120738135,0 days 01:29:00,0 days 01:29:00
23,ENAUSDT,-1.0627680614339745,4,50.0,0.7888288772000207,-2.2141569317272958,0 days 01:24:00,0 days 01:24:00
24,CRVUSDT,-1.9022416146199779,5,60.0,0.8849254281137364,-2.2044088176352616,0 days 00:56:00,0 days 00:56:00
25,MEUSDT,1.0274982996000164,2,100.0,0.7984031936127733,0.2272806930039062,0 days 02:35:00,0 days 02:35:00
26,COWUSDT,-4.480163491696008,9,55.55555555555556,0.829755729598336,-2.242086395876064,0 days 00:46:00,0 days 00:46:00
27,MOVEUSDT,-1.721603814362008,4,50.0,0.8016032064128154,-2.2105111732956484,0 days 01:24:00,0 days 01:24:00
28,ETCUSDT,-5.332117456520033,3,0.0,-1.0222299709921279,-2.204408817635284,0 days 01:26:00,0 days 01:26:00
29,XLMUSDT,-1.4561672821380012,3,33.33333333333333,0.8055977692731364,-2.197897889564693,0 days 02:05:00,0 days 02:05:00
30,SUSHIUSDT,-0.3397406488880329,4,75.0,0.7938702798566899,-2.1956087824351433,0 days 01:29:00,0 days 01:29:00
31,FILUSDT,-0.872527530039996,3,66.66666666666666,0.7984031936127733,-2.195608782435121,0 days 01:26:00,0 days 01:26:00
32,ARBUSDT,-0.15021734559400007,4,75.0,0.7919168089132178,-2.1956087824351322,0 days 01:22:00,0 days 01:22:00
33,OPUSDT,0.5168010718979873,2,50.0,0.805488159682699,-0.28638032420988946,0 days 02:04:00,0 days 02:04:00
34,APTUSDT,-0.8412771525779926,4,50.0,0.7976573012420607,-2.19845837391639,0 days 01:32:00,0 days 01:32:00
35,SANDUSDT,0.22227832520840687,5,80.0,0.7977476971900099,-2.1968562078699683,0 days 01:23:00,0 days 01:23:00
36,ENSUSDT,0.0679680543600209,5,60.0,0.8058522688580316,-2.20037798351852,0 days 01:30:00,0 days 01:30:00
37,ORDIUSDT,-0.53764450388005,4,75.0,0.7984031936127733,-2.1929814684283233,0 days 01:17:00,0 days 01:17:00
38,NEARUSDT,2.6297467602200064,4,100.0,0.8016032064128376,0.2039242814011022,0 days 01:28:00,0 days 01:28:00
39,ACTUSDT,-1.5050961575826258,5,60.0,0.8052015231856502,-2.188644765758019,0 days 01:03:00,0 days 01:03:00
40,LDOUSDT,-1.6494720489959975,8,62.5,0.8075413472045101,-2.1956087824351322,0 days 00:33:00,0 days 00:33:00
41,EIGENUSDT,-0.6365628658800013,4,75.0,0.7963329861124135,-2.1995714423714285,0 days 01:25:00,0 days 01:25:00
42,TIAUSDT,-1.2168897739280016,4,50.0,0.7984031936127733,-2.195608782435121,0 days 01:22:00,0 days 01:22:00
