,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,XRPUSDT,-1.418302936000018,2,50.0,0.7943652813749091,-2.1956087824351322,0 days 00:24:00,0 days 00:24:00
1,BTCUSDT,0.0,0,,,,,
2,ETHUSDT,0.5146187999999893,1,100.0,0.7234642569107219,0.7234642569107219,0 days 03:27:00,0 days 03:27:00
3,DOGEUSDT,0.7983871519999957,1,100.0,0.7984031936127733,0.7984031936127733,0 days 01:03:00,0 days 01:03:00
4,USDCUSDT,-0.1696421679999912,1,0.0,-0.16964270378594382,-0.16964270378594382,0 days 03:27:00,0 days 03:27:00
5,HBARUSDT,-3.604492509600004,3,33.33333333333333,0.8045714402971971,-2.2330927767107434,0 days 00:24:00,0 days 00:24:00
6,SOLUSDT,0.7953480000000127,1,100.0,0.7984031936127733,0.7984031936127733,0 days 00:09:00,0 days 00:09:00
7,FDUSDUSDT,-0.18959791200000836,1,0.0,-0.18959875398530945,-0.18959875398530945,0 days 04:21:00,0 days 04:21:00
8,ADAUSDT,0.7983530000000065,1,100.0,0.7984031936127733,0.7984031936127733,0 days 01:03:00,0 days 01:03:00
9,TRXUSDT,-1.415519838,2,50.0,0.761331327782111,-2.1604020181379524,0 days 00:18:00,0 days 00:18:00
10,BNBUSDT,0.0,0,,,,,
11,LINKUSDT,0.0,0,,,,,
12,SUIUSDT,0.7982647199999884,1,100.0,0.7984031936127733,0.7984031936127733,0 days 01:00:00,0 days 01:00:00
13,PEPEUSDT,0.8497262093184145,1,100.0,0.8497262094954827,0.8497262094954827,0 days 01:03:00,0 days 01:03:00
14,XLMUSDT,0.7983743999999934,1,100.0,0.7984031936127733,0.7984031936127733,0 days 01:15:00,0 days 01:15:00
15,RSRUSDT,0.8080869401999917,1,100.0,0.8080883632686442,0.8080883632686442,0 days 00:00:00,0 days 00:00:00
16,AVAXUSDT,1.578159199999991,2,100.0,0.7984031936127733,0.7783078181754499,0 days 01:03:00,0 days 01:03:00
17,FTMUSDT,-0.873475328000004,1,0.0,-0.8734992677498443,-0.8734992677498443,0 days 01:09:00,0 days 01:09:00
