,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,BTCUSDT,-1.4257334320000001,4,50.0,0.7985000146094379,-2.204510063248133,0 days 10:20:00,0 days 10:20:00
1,ETHUSDT,-2.895016726800017,2,0.0,-0.7067343687948813,-2.204105032948056,0 days 08:00:00,0 days 08:00:00
2,XRPUSDT,-5.781524197532013,5,20.0,0.8016032064128376,-2.207555892669699,0 days 04:55:00,0 days 04:55:00
3,SOLUSDT,-6.723498285800032,7,42.857142857142854,0.7984031936127733,-2.2044088176352616,0 days 05:10:00,0 days 05:10:00
4,DOGEUSDT,-1.9747904778628051,10,60.0,0.8057446650762579,-2.204408817635284,0 days 04:15:00,0 days 04:15:00
5,HBARUSDT,-7.888183862607609,10,40.0,0.8043018216306819,-2.2072079414765744,0 days 02:30:00,0 days 02:30:00
6,SUIUSDT,-0.2619168680080213,8,75.0,0.8056375475395061,-2.210742623878992,0 days 04:30:00,0 days 04:30:00
7,LTCUSDT,2.6869075238000413,13,76.92307692307693,0.8134792335759311,-2.2044088176352616,0 days 03:25:00,0 days 03:25:00
8,ADAUSDT,-4.037980559952016,11,54.54545454545454,0.8162373059966477,-2.2136147633042835,0 days 03:15:00,0 days 03:15:00
9,ENAUSDT,-4.4330319836320164,18,66.66666666666666,0.8122274322662659,-2.205625618897411,0 days 02:50:00,0 days 02:50:00
10,XLMUSDT,-2.3627312743597852,6,50.0,0.8036691940582208,-2.2065561044142257,0 days 07:00:00,0 days 07:00:00
11,PNUTUSDT,3.2398246683630156,20,80.0,0.8094526712474237,-2.2060969189965807,0 days 04:30:00,0 days 04:30:00
12,LINKUSDT,-1.3173030674400181,4,50.0,0.8067243562159598,-2.2044088176352616,0 days 07:20:00,0 days 07:20:00
13,WIFUSDT,-2.6050797737300213,5,60.0,0.8039540721409777,-2.2060207046385227,0 days 08:10:00,0 days 08:10:00
14,BNBUSDT,1.694329034599997,4,75.0,0.8016032064128265,-0.7047465342252979,0 days 06:40:00,0 days 06:40:00
15,AIXBTUSDT,-5.239860708408747,29,65.51724137931035,0.8095984562114911,-2.2085400691706614,0 days 01:45:00,0 days 01:45:00
16,NEIROUSDT,-3.920719494131301,15,60.0,0.8129414618469943,-2.2182016193992293,0 days 04:00:00,0 days 04:00:00
17,EOSUSDT,-3.247714527500048,9,55.55555555555556,0.8981048782751078,-2.204408817635284,0 days 07:15:00,0 days 07:15:00
18,AVAXUSDT,-0.785164982999973,4,50.0,0.7984031936127733,-2.1932465287042846,0 days 10:35:00,0 days 10:35:00
19,SAGAUSDT,-10.255255266021955,18,50.0,0.8134534509228741,-2.2168553144772174,0 days 03:20:00,0 days 03:20:00
20,WLDUSDT,3.181190439245999,4,100.0,0.8073734172662217,0.7984031936127733,0 days 06:15:00,0 days 06:15:00
21,ALGOUSDT,-3.053883089534007,8,62.5,0.8220480532375674,-2.2159889431389357,0 days 03:40:00,0 days 03:40:00
22,MOVEUSDT,-2.940530479553975,17,64.70588235294117,0.8132448443418872,-2.2164060483921277,0 days 02:45:00,0 days 02:45:00
23,AAVEUSDT,1.7313149155999907,6,83.33333333333334,0.8110583603665011,-2.1926706548450747,0 days 05:50:00,0 days 05:50:00
24,SANDUSDT,-3.260468427062556,14,64.28571428571429,0.8089554746278704,-2.2090543318083578,0 days 03:20:00,0 days 03:20:00
25,FILUSDT,-0.3449502768999897,4,75.0,0.8156987329390519,-2.1956087824351322,0 days 06:35:00,0 days 06:35:00
26,GALAUSDT,-2.166823101716414,13,69.23076923076923,0.8016032064128376,-2.195608782435121,0 days 04:45:00,0 days 04:45:00
27,DOTUSDT,0.12440759864000604,3,66.66666666666666,0.7984031936127733,-1.4420957282222702,0 days 10:30:00,0 days 10:30:00
28,SOLVUSDT,-1.2935783983640374,14,71.42857142857143,0.8788004023611573,-2.3780781614205493,0 days 00:25:00,0 days 00:25:00
29,TIAUSDT,-4.910621113995947,6,50.0,0.8021741071083444,-2.220735612490632,0 days 09:50:00,0 days 09:50:00
30,PENGUUSDT,-3.4259001219639367,12,58.333333333333336,0.8075617838271487,-2.2044088176352616,0 days 04:05:00,0 days 04:05:00
31,CRVUSDT,-6.786211383760013,11,45.45454545454545,0.8016032064128265,-2.204408817635284,0 days 03:15:00,0 days 03:15:00
32,BCHUSDT,1.1014583900000157,4,75.0,0.8005265169021669,-1.2820113456619486,0 days 08:20:00,0 days 08:20:00
33,NEARUSDT,-7.099921389100011,5,20.0,0.7984031936127733,-2.223339065610408,0 days 05:45:00,0 days 05:45:00
34,VETUSDT,-4.84803875257289,14,57.14285714285714,0.8158259634490239,-2.2249934173312447,0 days 04:05:00,0 days 04:05:00
35,ZENUSDT,0.07827880093999207,9,66.66666666666666,0.8341461559650432,-2.1956087824351322,0 days 03:50:00,0 days 03:50:00
36,USUALUSDT,-3.995266458094008,10,60.0,0.8189881339967009,-2.2131931749589606,0 days 04:05:00,0 days 04:05:00
37,ACTUSDT,-3.273022476026993,16,62.5,0.8131253990092735,-2.21240353046519,0 days 02:50:00,0 days 02:50:00
38,CGPTUSDT,-3.564428958034851,17,64.70588235294117,0.8369690236110783,-2.218745247543774,0 days 02:30:00,0 days 02:30:00
39,RUNEUSDT,7.652580793900079,13,92.3076923076923,0.8290363913667997,-2.2044088176352616,0 days 04:20:00,0 days 04:20:00
40,PHAUSDT,-3.7629194353780524,12,58.333333333333336,0.8124838027486314,-2.2159753089429968,0 days 02:35:00,0 days 02:35:00
41,INJUSDT,-5.0904898699000105,14,57.14285714285714,0.8056405851997073,-2.204408817635284,0 days 02:35:00,0 days 02:35:00
42,APTUSDT,-0.2547191092099808,2,50.0,0.7984031936127733,-1.0447809465394253,0 days 08:00:00,0 days 08:00:00
43,UNIUSDT,-3.260788130019996,3,33.33333333333333,0.7984031936127733,-2.204408817635284,0 days 08:00:00,0 days 08:00:00
44,FETUSDT,-2.969635513483975,4,50.0,0.7984031936127733,-2.202558078386352,0 days 05:40:00,0 days 05:40:00
45,TRXUSDT,-2.6598926163136216,3,33.33333333333333,0.7984031936127733,-2.204408817635284,0 days 10:05:00,0 days 10:05:00
46,ARBUSDT,-3.0095978543479927,3,33.33333333333333,0.7984031936127733,-2.2044088176352616,0 days 08:00:00,0 days 08:00:00
47,IOTAUSDT,-1.3768665128159896,8,62.5,0.8516276122593314,-2.2192387392405255,0 days 05:05:00,0 days 05:05:00
48,TAOUSDT,-3.969600039399937,11,63.63636363636363,0.826300222513332,-2.2044088176352616,0 days 04:30:00,0 days 04:30:00
49,1MBABYDOGEUSDT,-5.5942876262403285,16,62.5,0.8111503833938105,-2.207699365246918,0 days 04:40:00,0 days 04:40:00
50,ETCUSDT,1.5440988141999952,4,75.0,0.8016032064128154,-0.849357735660905,0 days 09:50:00,0 days 09:50:00
51,AGIXUSDT,0.0,0,,,,,
52,OPUSDT,-2.7115308024059983,3,33.33333333333333,0.803760251605623,-2.2044088176352616,0 days 08:20:00,0 days 08:20:00
53,TURBOUSDT,0.6162188383198529,13,76.92307692307693,0.8155100111083669,-2.2068668065680086,0 days 04:55:00,0 days 04:55:00
54,LDOUSDT,-0.8836434628800117,4,50.0,0.796603539218943,-2.2100833112522866,0 days 07:10:00,0 days 07:10:00
55,ORDIUSDT,2.883013399640005,4,100.0,0.7984031936127733,0.45805366069060494,0 days 07:30:00,0 days 07:30:00
56,ENSUSDT,-4.318829566619973,5,40.0,0.7984031936127733,-2.204408817635284,0 days 04:55:00,0 days 04:55:00
57,AGLDUSDT,-2.174844031639993,6,50.0,0.8138741446810815,-2.1956087824351322,0 days 06:15:00,0 days 06:15:00
58,ATOMUSDT,-0.03509665342001244,5,60.0,0.8132855800284888,-2.1815098360292717,0 days 05:45:00,0 days 05:45:00
59,SEIUSDT,-5.079939635352008,6,33.33333333333333,0.8251937882900129,-2.2044088176352616,0 days 06:40:00,0 days 06:40:00
60,BIOUSDT,-0.249272604171969,12,66.66666666666666,0.8527232253737083,-2.2044088176352616,0 days 03:05:00,0 days 03:05:00
61,SPELLUSDT,0.7347184853748046,25,72.0,0.8218337847781809,-2.238285510358151,0 days 04:10:00,0 days 04:10:00
62,FTMUSDT,0.0,0,,,,,
63,RSRUSDT,-6.1184419343620915,16,56.25,0.8205534859836883,-2.2174801066515037,0 days 03:50:00,0 days 03:50:00
64,PENDLEUSDT,3.450083614522032,12,83.33333333333334,0.8034540994927397,-2.2116654201594255,0 days 02:35:00,0 days 02:35:00
65,EIGENUSDT,0.9262478162519819,2,100.0,0.7954027946488251,0.12981250191137494,0 days 08:55:00,0 days 08:55:00
66,COOKIEUSDT,1.3933166783039272,15,73.33333333333333,0.8395956984823538,-2.2447500091954176,0 days 02:00:00,0 days 02:00:00
67,WAVESUSDT,0.0,0,,,,,
68,COWUSDT,0.44953656165597955,9,77.77777777777779,0.811490496026912,-2.217865619322934,0 days 03:40:00,0 days 03:40:00
69,APEUSDT,1.810723120478019,5,80.0,0.8069730289463672,-1.3681843624687273,0 days 04:20:00,0 days 04:20:00
70,DYDXUSDT,0.3255213665200211,6,66.66666666666666,0.7984031936127955,-2.2044088176352616,0 days 06:55:00,0 days 06:55:00
71,1000SATSUSDT,-0.8260356945864298,4,50.0,0.8673959404940979,-2.261782254165534,0 days 07:50:00,0 days 07:50:00
72,RENDERUSDT,-1.3613527526400053,5,60.0,0.8115984290092415,-2.191325815994505,0 days 06:55:00,0 days 06:55:00
73,BOMEUSDT,0.11279461900738999,7,71.42857142857143,0.8180322221123304,-2.2044088176352616,0 days 06:30:00,0 days 06:30:00
74,GMTUSDT,0.6188658917609788,2,50.0,0.7757688216381675,-0.15569509035922025,0 days 08:55:00,0 days 08:55:00
75,TONUSDT,-0.35464441955201326,1,0.0,-0.35464460014964505,-0.35464460014964505,0 days 14:40:00,0 days 14:40:00
76,OCEANUSDT,0.0,0,,,,,
77,STXUSDT,-0.010711327721979469,5,60.0,0.8108305642444691,-2.1897891709143913,0 days 08:10:00,0 days 08:10:00
78,VANAUSDT,3.3670327414000223,5,100.0,0.8258986746454089,0.08912400877044702,0 days 08:40:00,0 days 08:40:00
79,ETHFIUSDT,0.579774091835972,6,66.66666666666666,0.7984031936127733,-2.1819049305060845,0 days 05:15:00,0 days 05:15:00
80,SUSDT,7.255352625313997,14,85.71428571428571,0.8398840387231821,-2.2438547492514838,0 days 03:05:00,0 days 03:05:00
81,JUPUSDT,1.8536071852580271,7,85.71428571428571,0.7984031936127733,-2.2072632618461707,0 days 03:35:00,0 days 03:35:00
82,JASMYUSDT,-3.5132635171151345,12,58.333333333333336,0.8045575619774481,-2.204408817635284,0 days 04:05:00,0 days 04:05:00
83,EDUUSDT,-2.624301889425963,21,66.66666666666666,0.8638142274827398,-2.2113178076868856,0 days 04:15:00,0 days 04:15:00
84,SUSHIUSDT,-10.47215464102801,10,30.0,0.8043168576311821,-2.2070868238877384,0 days 03:00:00,0 days 03:00:00
85,STRAXUSDT,0.0,0,,,,,
