,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,BTCUSDT,0.0,0,,,,,
1,XRPUSDT,0.09111740200001806,5,60.0,0.8016032064128154,-2.198588715746652,0 days 01:20:00,0 days 01:20:00
2,ETHUSDT,1.6462276000000202,3,100.0,0.8018923724142812,0.7984031936127733,0 days 03:15:00,0 days 03:15:00
3,DOGEUSDT,-0.6293373438000163,3,66.66666666666666,0.8016032064128154,-2.197981120738124,0 days 01:30:00,0 days 01:30:00
4,SOLUSDT,-0.17777360000000045,5,60.0,0.8060812849968735,-2.2044088176352616,0 days 02:45:00,0 days 02:45:00
5,FDUSDUSDT,-0.28942000000000917,1,0.0,-0.28942115768463283,-0.28942115768463283,0 days 07:45:00,0 days 07:45:00
6,HBARUSDT,-0.6185267688000204,3,66.66666666666666,0.8177269823610445,-2.1956087824351322,0 days 01:20:00,0 days 01:20:00
7,PEPEUSDT,3.1391592852916075,4,100.0,0.8016032064128265,0.7475719262433289,0 days 02:45:00,0 days 02:45:00
8,LTCUSDT,-0.704916200000007,4,50.0,0.8208044981228069,-2.174226099615373,0 days 01:55:00,0 days 01:55:00
9,SUIUSDT,-0.2559217340000396,5,60.0,0.8036291519400218,-2.202284295033219,0 days 02:40:00,0 days 02:40:00
10,ADAUSDT,3.2325168719999784,4,100.0,0.8104005101369771,0.789347546932917,0 days 02:25:00,0 days 02:25:00
11,SOLVUSDT,-1.4893561199999932,2,50.0,0.7984031936127733,-2.269646928701252,0 days 00:10:00,0 days 00:10:00
12,BNBUSDT,1.5057458000000044,2,100.0,0.8016032064128376,0.800236649079944,0 days 03:40:00,0 days 03:40:00
13,SHIBUSDT,0.2958455080014028,1,100.0,0.2958455085987133,0.2958455085987133,0 days 07:55:00,0 days 07:55:00
14,ENAUSDT,3.0685590800000138,5,80.0,0.811815106432745,-0.1782964117660657,0 days 00:40:00,0 days 00:40:00
15,XLMUSDT,2.43915769600002,3,100.0,0.8196239100745961,0.7984031936127733,0 days 02:15:00,0 days 02:15:00
16,TRXUSDT,2.46257974600001,3,100.0,0.8394448887241834,0.8016032064128265,0 days 03:10:00,0 days 03:10:00
17,LINKUSDT,2.799471199999989,4,100.0,0.8016032064128265,0.41569142848705276,0 days 03:45:00,0 days 03:45:00
18,PNUTUSDT,-0.7842903659999684,6,66.66666666666666,0.8168457381881322,-2.220217697576121,0 days 00:55:00,0 days 00:55:00
19,AIXBTUSDT,3.1325973639999756,5,80.0,0.8144760842733967,-0.1060295695777036,0 days 00:25:00,0 days 00:25:00
20,RUNEUSDT,-5.62170236,6,33.33333333333333,0.8016032064128154,-2.231052302728509,0 days 01:50:00,0 days 01:50:00
21,WIFUSDT,1.6615658199999963,2,100.0,0.8533042846768257,0.8016032064128265,0 days 00:30:00,0 days 00:30:00
22,WLDUSDT,4.067279659999985,5,100.0,0.84362454991318,0.7578649362216305,0 days 02:35:00,0 days 02:35:00
23,ALGOUSDT,2.0352081719999844,4,75.0,0.81991373633441,-0.3917299091656279,0 days 00:40:00,0 days 00:40:00
24,NEIROUSDT,-0.21653740957135598,5,60.0,0.8004521325225111,-2.2013543437017558,0 days 02:15:00,0 days 02:15:00
25,GALAUSDT,4.1180523266000275,5,100.0,0.8256513026052237,0.7776248653943107,0 days 01:30:00,0 days 01:30:00
26,AVAXUSDT,0.47185119999998276,2,50.0,0.8229283525406528,-0.3464020720510552,0 days 04:05:00,0 days 04:05:00
27,EOSUSDT,4.071694659999993,6,83.33333333333334,0.9016908288147718,-0.06741483919578961,0 days 02:00:00,0 days 02:00:00
28,BONKUSDT,-6.152765029163984,4,25.0,0.30333034717966445,-2.2044088176352616,0 days 00:40:00,0 days 00:40:00
29,VETUSDT,5.315605720800013,7,100.0,0.8193330360452888,0.4205040211973765,0 days 00:40:00,0 days 00:40:00
30,NEARUSDT,1.6442221400000017,3,100.0,0.783917630232811,0.06988722824379234,0 days 02:15:00,0 days 02:15:00
31,SANDUSDT,-2.8362167520000003,4,50.0,0.8163123399824612,-2.219929608647808,0 days 02:55:00,0 days 02:55:00
32,MOVEUSDT,2.594726035999993,5,80.0,0.8129130224878045,-0.6088584401203523,0 days 01:50:00,0 days 01:50:00
33,APTUSDT,2.1074311999999917,4,75.0,0.9043994725201787,-0.40687057867651033,0 days 03:15:00,0 days 03:15:00
34,FETUSDT,2.4326849199999923,4,100.0,0.8721568314438266,0.016885967760771337,0 days 01:30:00,0 days 01:30:00
35,DOTUSDT,0.19941347999996653,2,50.0,0.7846272740837712,-0.5803075345002906,0 days 03:55:00,0 days 03:55:00
36,SUSDT,1.311346934000012,3,66.66666666666666,0.8140762853507733,-0.3026870725946318,0 days 01:25:00,0 days 01:25:00
37,TAOUSDT,-2.606758000000009,5,60.0,0.822141176763469,-2.2044088176352616,0 days 02:50:00,0 days 02:50:00
38,AAVEUSDT,2.7294334000000164,4,100.0,0.8638142274827398,0.22516033809507618,0 days 03:10:00,0 days 03:10:00
39,FLOKIUSDT,-0.6302595873939754,3,66.66666666666666,0.8016032064128265,-2.2044088176352616,0 days 01:15:00,0 days 01:15:00
40,USUALUSDT,-3.532338728000031,2,0.0,-1.3668569294160493,-2.1956087824351433,0 days 04:30:00,0 days 04:30:00
41,UNIUSDT,3.2540759199999956,5,100.0,0.8392398188093786,0.003080759682916323,0 days 02:00:00,0 days 02:00:00
42,FILUSDT,-0.6974453999999969,1,0.0,-0.6977439269481578,-0.6977439269481578,0 days 07:10:00,0 days 07:10:00
43,PENGUUSDT,-4.64611148998003,3,0.0,-0.3290231278334055,-2.1926569099449567,0 days 03:55:00,0 days 03:55:00
44,CRVUSDT,3.302701208000035,5,100.0,0.8117680180527165,0.1509740102396684,0 days 02:00:00,0 days 02:00:00
45,TIAUSDT,2.330547940000015,4,75.0,0.81994949766373,-0.12461928134713807,0 days 01:25:00,0 days 01:25:00
46,AMPUSDT,3.1945207764800214,4,100.0,0.8473431011879806,0.739566862073171,0 days 01:15:00,0 days 01:15:00
47,ARBUSDT,2.3315978899999936,4,75.0,0.8016032064128265,-0.07452196746999817,0 days 02:10:00,0 days 02:10:00
48,EURUSDT,-0.30618462000002183,1,0.0,-0.30619409787088214,-0.30619409787088214,0 days 06:25:00,0 days 06:25:00
49,PHAUSDT,2.4755269039999988,4,100.0,0.8268773188087275,0.11112787162725901,0 days 02:20:00,0 days 02:20:00
50,INJUSDT,-0.31076340000001434,5,60.0,0.8416186952363791,-2.234481751917472,0 days 01:35:00,0 days 01:35:00
51,CGPTUSDT,3.271854070000027,4,100.0,0.8826123859215551,0.7471434771821994,0 days 00:35:00,0 days 00:35:00
52,SAGAUSDT,0.06882474799998818,5,60.0,0.8592800462253636,-2.1781385130899333,0 days 01:00:00,0 days 01:00:00
53,SEIUSDT,-1.4508671279999907,3,33.33333333333333,0.8016032064128265,-2.179804963803389,0 days 04:45:00,0 days 04:45:00
54,IOTAUSDT,-0.10573010199999772,2,50.0,0.8016032064128265,-0.9001300482514463,0 days 06:05:00,0 days 06:05:00
55,BCHUSDT,0.0017599999999947614,3,66.66666666666666,0.819429143382,-1.6212449560032427,0 days 03:10:00,0 days 03:10:00
56,RENDERUSDT,3.3722801599999914,5,100.0,0.8241663637581054,0.13023400256813034,0 days 01:30:00,0 days 01:30:00
57,ZENUSDT,3.3714356000000043,4,100.0,0.8344830197351993,0.8321941433927282,0 days 02:00:00,0 days 02:00:00
58,BIOUSDT,-4.914878498000016,5,40.0,0.8016032064128376,-2.195608782435121,0 days 01:25:00,0 days 01:25:00
59,OPUSDT,2.322949779999999,4,75.0,0.8016032064128265,-0.09526164607533971,0 days 01:55:00,0 days 01:55:00
60,ACTUSDT,3.490724140000002,6,83.33333333333334,0.8394796465783894,-0.5903619542434235,0 days 00:45:00,0 days 00:45:00
61,TONUSDT,0.14784381999998006,2,50.0,0.8016032064128265,-0.6482629059449962,0 days 04:35:00,0 days 04:35:00
62,JASMYUSDT,2.542055443600002,3,100.0,0.859253421921613,0.8306851169357254,0 days 01:55:00,0 days 01:55:00
63,GMTUSDT,1.5531149800000275,3,100.0,0.8016032064128265,0.02226675573371306,0 days 04:10:00,0 days 04:10:00
64,PENDLEUSDT,-3.4868576000000573,4,50.0,0.7787147899860569,-2.228327471699787,0 days 02:40:00,0 days 02:40:00
65,ATOMUSDT,1.8171343200000047,3,100.0,0.8016032064128265,0.20828289414456247,0 days 03:00:00,0 days 03:00:00
66,ICPUSDT,1.8023036200000206,3,100.0,0.8523301146258433,0.11401151727790104,0 days 04:00:00,0 days 04:00:00
67,RSRUSDT,-2.0449996137799826,5,60.0,0.861241173285876,-2.2044088176352616,0 days 00:55:00,0 days 00:55:00
68,ETCUSDT,-0.05620600000000195,1,0.0,-0.056260907269845006,-0.056260907269845006,0 days 07:05:00,0 days 07:05:00
