,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,SOPHUSDT,119.23074878460001,3,66.66666666666666,0.9811742777259935,-2.0000000000000018,0 days 01:35:00,0 days 01:35:00
1,ICXUSDT,78.06994116,2,0.0,-2.0000000000000018,-2.1372549019607834,0 days 01:25:00,0 days 01:25:00
2,ACAUSDT,80.478811296,2,100.0,1.0000000000000009,1.0000000000000009,0 days 00:40:00,0 days 00:40:00
3,AGLDUSDT,79.8738165,2,50.0,1.0000000000000009,-2.0000000000000018,0 days 00:25:00,0 days 00:25:00
4,BROCCOLI714USDT,39.5358325304,1,0.0,-1.9251908396946682,-1.9251908396946682,0 days 00:15:00,0 days 00:15:00
5,ARDRUSDT,80.5220797296,2,100.0,1.0765002290426207,0.9884663697613538,0 days 00:50:00,0 days 00:50:00
6,NULSUSDT,117.87938362,3,33.33333333333333,1.0000000000000009,-1.9999999999999907,0 days 00:00:00,0 days 00:00:00
7,WAVESUSDT,193.73794752,5,60.0,1.0000000000000009,-2.0000000000000018,0 days 00:45:00,0 days 00:45:00
8,MITHUSDT,235.7615179224,6,50.0,1.8607954545454497,-2.0000000000000018,0 days 00:30:00,0 days 00:30:00
9,TOMOUSDT,0.0,0,,,,,
10,PERLUSDT,198.785684894,5,60.0,1.0000000000000009,-1.815094339622647,0 days 00:00:00,0 days 00:00:00
11,KEYUSDT,119.20338395652,3,66.66666666666666,1.0000000000000009,-1.8258293838862572,0 days 00:05:00,0 days 00:05:00
12,DOCKUSDT,159.46399077659999,4,50.0,1.0000000000000009,-2.2372881355932073,0 days 00:05:00,0 days 00:05:00
13,RENUSDT,264.4618089536,7,28.57142857142857,1.2589079723147822,-2.772944550669232,0 days 00:05:00,0 days 00:05:00
14,CTXCUSDT,122.08994607000001,3,100.0,2.677740863787381,1.0000000000000009,0 days 00:30:00,0 days 00:30:00
15,TROYUSDT,297.44557256096,8,25.0,0.28368794326238955,-2.000000000000013,0 days 00:00:00,0 days 00:00:00
16,VITEUSDT,335.6265051372,9,0.0,0.0,-3.9029126213592225,0 days 00:10:00,0 days 00:10:00
17,DREPUSDT,270.850976682,7,28.57142857142857,1.0000000000000009,-2.0000000000000018,0 days 00:00:00,0 days 00:00:00
18,TCTUSDT,40.0590369432,1,100.0,0.6957831325301145,0.6957831325301145,0 days 00:20:00,0 days 00:20:00
19,WRXUSDT,359.78565677600005,10,10.0,1.3519163763066278,-2.8909090909090995,0 days 00:00:00,0 days 00:00:00
20,STRATUSDT,79.84834634,2,50.0,0.9620300751879807,-2.0183899418277362,0 days 01:15:00,0 days 01:15:00
21,AIONUSDT,241.69448032480003,6,66.66666666666666,1.2453441295546597,-2.384313725490206,0 days 00:10:00,0 days 00:10:00
22,WTCUSDT,351.766951572,9,55.55555555555556,1.3914728682170363,-2.000000000000013,0 days 00:00:00,0 days 00:00:00
23,STMXUSDT,80.57485657213999,2,100.0,1.4777467211352535,1.0000000000000009,0 days 00:05:00,0 days 00:05:00
24,PNTUSDT,276.818396354,7,57.14285714285714,2.088948787061984,-2.5730994152046716,0 days 00:10:00,0 days 00:10:00
25,BNBDOWNUSDT,193.125998955,5,20.0,4.413858566682505,-2.751465944970677,0 days 00:55:00,0 days 00:55:00
26,XTZUPUSDT,157.70754497224,4,50.0,1.0372556252305376,-2.1339255210112817,0 days 00:05:00,0 days 00:05:00
27,BLZUSDT,40.085248124,1,100.0,0.8279386712095382,0.8279386712095382,0 days 00:05:00,0 days 00:05:00
28,IRISUSDT,303.9866498828,8,12.5,1.0000000000000009,-2.000000000000013,0 days 00:05:00,0 days 00:05:00
29,SRMUSDT,117.5322164638,3,33.33333333333333,0.9960522201375888,-1.9843074459567567,0 days 00:45:00,0 days 00:45:00
30,WINGUSDT,189.87903528,5,0.0,0.0,-3.040707964601741,0 days 00:05:00,0 days 00:05:00
31,LTCUPUSDT,159.12744316,4,50.0,1.5904051602499525,-2.0000000000000018,0 days 00:25:00,0 days 00:25:00
32,AKROUSDT,341.02622364748,9,44.44444444444444,1.0000000000000009,-2.8558951965065527,0 days 00:05:00,0 days 00:05:00
33,HARDUSDT,195.959647418,5,20.0,1.0000000000000009,-2.0000000000000018,0 days 00:00:00,0 days 00:00:00
34,DNTUSDT,0.0,0,,,,,
35,XEMUSDT,231.503990504,6,50.0,1.1923809523809448,-2.0000000000000018,0 days 00:40:00,0 days 00:40:00
36,AAVEDOWNUSDT,40.1842342,1,100.0,1.3230429988974723,1.3230429988974723,0 days 00:10:00,0 days 00:10:00
37,SUSHIUPUSDT,78.61909270134001,2,50.0,0.680514550822453,-2.0000000000000018,0 days 00:00:00,0 days 00:00:00
38,REEFUSDT,197.74844729016002,5,40.0,1.0000000000000009,-2.0000000000000018,0 days 02:05:00,0 days 02:05:00
39,FIROUSDT,238.18043089999998,6,50.0,1.3782771535580496,-2.0000000000000018,0 days 00:15:00,0 days 00:15:00
40,LITUSDT,79.87368384000001,2,50.0,1.0000000000000009,-2.0000000000000018,0 days 00:05:00,0 days 00:05:00
41,BADGERUSDT,231.08853480000002,6,33.33333333333333,1.0000000000000009,-2.1185006045949195,0 days 01:10:00,0 days 01:10:00
42,LINAUSDT,78.6813663186,2,50.0,1.0000000000000009,-2.0000000000000018,0 days 00:00:00,0 days 00:00:00
43,RAMPUSDT,0.0,0,,,,,
44,EPSUSDT,79.909601716,2,50.0,1.0562047857540335,-2.0000000000000018,0 days 01:45:00,0 days 01:45:00
45,MIRUSDT,202.7789706126,5,100.0,1.3714781401804377,0.5988826063543229,0 days 00:15:00,0 days 00:15:00
46,BURGERUSDT,229.341849088,6,16.666666666666664,1.3869731800766338,-2.4317180616740264,0 days 00:00:00,0 days 00:00:00
47,MDXUSDT,282.9837531876,7,85.71428571428571,1.0363832853025778,-1.965407695022947,0 days 00:20:00,0 days 00:20:00
48,KEEPUSDT,79.89716734800001,2,50.0,1.0328669053042638,-1.9845083781220407,0 days 02:05:00,0 days 02:05:00
49,ERNUSDT,80.3787198,2,100.0,0.9013190034196095,0.8508858267716635,0 days 00:10:00,0 days 00:10:00
50,CLVUSDT,322.47747060899997,8,75.0,1.0322786832854147,-1.7982847341337926,0 days 00:30:00,0 days 00:30:00
51,ALPACAUSDT,229.18485193400002,6,33.33333333333333,1.0409902597402487,-2.7151015228426223,0 days 00:05:00,0 days 00:05:00
52,FORUSDT,265.0838627432,7,42.857142857142854,1.3206349206349222,-2.285714285714291,0 days 00:00:00,0 days 00:00:00
53,ELFUSDT,40.11904242600001,1,100.0,1.0000000000000009,1.0000000000000009,0 days 00:00:00,0 days 00:00:00
54,VIDTUSDT,231.84302287359998,6,33.33333333333333,1.0000000000000009,-2.765625000000005,0 days 00:00:00,0 days 00:00:00
55,CVPUSDT,267.80792805000004,7,28.57142857142857,1.0000000000000009,-2.2512820512820664,0 days 00:00:00,0 days 00:00:00
56,BETAUSDT,395.1061947676001,10,40.0,2.9423076923076996,-2.0000000000000018,0 days 00:05:00,0 days 00:05:00
57,VGXUSDT,39.385100023999996,1,0.0,-2.6805555555555527,-2.6805555555555527,0 days 00:00:00,0 days 00:00:00
58,OOKIUSDT,324.53324161028,8,75.0,1.5101010101010282,-1.2159999999999949,0 days 00:00:00,0 days 00:00:00
59,MULTIUSDT,199.04534946,5,60.0,1.0000000000000009,-2.0000000000000018,0 days 00:05:00,0 days 00:05:00
60,MOBUSDT,200.36732726600002,5,80.0,1.2664907651714907,-2.0000000000000018,0 days 00:05:00,0 days 00:05:00
61,EPXUSDT,311.20163406926,8,62.5,1.4173553719008414,-2.685314685314699,0 days 00:05:00,0 days 00:05:00
62,NEBLUSDT,201.8775397,5,80.0,1.0000000000000009,-2.000000000000013,0 days 00:05:00,0 days 00:05:00
63,PROSUSDT,120.472825686,3,66.66666666666666,1.0000000000000009,-1.9999999999999907,0 days 00:00:00,0 days 00:00:00
64,VIBUSDT,238.32371282900002,6,33.33333333333333,1.1790780141843982,-2.6606741573033554,0 days 00:00:00,0 days 00:00:00
65,AMBUSDT,299.361333122,8,12.5,1.0000000000000009,-4.45000000000001,0 days 00:00:00,0 days 00:00:00
66,UFTUSDT,157.04137805199997,4,50.0,1.0000000000000009,-1.0754716981132173,0 days 00:00:00,0 days 00:00:00
67,OAXUSDT,430.753205602,11,54.54545454545454,1.2249443207126731,-2.8200836820083675,0 days 00:10:00,0 days 00:10:00
68,SNTUSDT,39.557375104,1,0.0,-1.8175046554934737,-1.8175046554934737,0 days 00:30:00,0 days 00:30:00
